Node1,Node2,Layer
fra,dza,612
fra,dza,711
fra,dza,741
fra,dza,813
fra,dza,819
fra,dza,980
fra,dza,2331
fra,dza,2472
fra,dza,2483
fra,dza,2518
fra,dza,2665
fra,dza,2667
fra,dza,2733
fra,dza,2734
fra,dza,2782
fra,dza,2789
fra,dza,2922
fra,dza,2925
fra,dza,2926
fra,dza,2929
fra,dza,3341
fra,dza,3344
fra,dza,3345
fra,dza,3351
fra,dza,3353
fra,dza,3354
fra,dza,4113
fra,dza,4236
fra,dza,4239
fra,dza,4312
fra,dza,4313
fra,dza,5113
fra,dza,5121
fra,dza,5123
fra,dza,5137
fra,dza,5138
fra,dza,5139
fra,dza,5146
fra,dza,5148
fra,dza,5154
fra,dza,5156
fra,dza,5161
fra,dza,5162
fra,dza,5163
fra,dza,5169
fra,dza,5222
fra,dza,5224
fra,dza,5225
fra,dza,5231
fra,dza,5232
fra,dza,5241
fra,dza,5311
fra,dza,5312
fra,dza,5322
fra,dza,5323
fra,dza,5331
fra,dza,5332
fra,dza,5334
fra,dza,5335
fra,dza,5411
fra,dza,5414
fra,dza,5416
fra,dza,5419
fra,dza,5513
fra,dza,5514
fra,dza,5541
fra,dza,5542
fra,dza,5543
fra,dza,5629
fra,dza,5721
fra,dza,5722
fra,dza,5821
fra,dza,5823
fra,dza,5825
fra,dza,5826
fra,dza,5827
fra,dza,5829
fra,dza,5831
fra,dza,5832
fra,dza,5833
fra,dza,5834
fra,dza,5835
fra,dza,5836
fra,dza,5837
fra,dza,5839
fra,dza,5842
fra,dza,5843
fra,dza,5849
fra,dza,5852
fra,dza,5911
fra,dza,5912
fra,dza,5914
fra,dza,5921
fra,dza,5922
fra,dza,5981
fra,dza,5982
fra,dza,5983
fra,dza,5989
fra,dza,6114
fra,dza,6123
fra,dza,6210
fra,dza,6252
fra,dza,6254
fra,dza,6259
fra,dza,6282
fra,dza,6289
fra,dza,6343
fra,dza,6351
fra,dza,6359
fra,dza,6411
fra,dza,6412
fra,dza,6413
fra,dza,6415
fra,dza,6416
fra,dza,6417
fra,dza,6418
fra,dza,6419
fra,dza,6423
fra,dza,6424
fra,dza,6428
fra,dza,6513
fra,dza,6514
fra,dza,6519
fra,dza,6522
fra,dza,6531
fra,dza,6532
fra,dza,6534
fra,dza,6536
fra,dza,6538
fra,dza,6542
fra,dza,6543
fra,dza,6552
fra,dza,6560
fra,dza,6572
fra,dza,6573
fra,dza,6575
fra,dza,6577
fra,dza,6579
fra,dza,6581
fra,dza,6583
fra,dza,6584
fra,dza,6589
fra,dza,6612
fra,dza,6618
fra,dza,6624
fra,dza,6631
fra,dza,6632
fra,dza,6633
fra,dza,6635
fra,dza,6637
fra,dza,6638
fra,dza,6642
fra,dza,6647
fra,dza,6648
fra,dza,6649
fra,dza,6651
fra,dza,6652
fra,dza,6658
fra,dza,6664
fra,dza,6665
fra,dza,6666
fra,dza,6713
fra,dza,6716
fra,dza,6725
fra,dza,6727
fra,dza,6733
fra,dza,6782
fra,dza,6793
fra,dza,6794
fra,dza,6822
fra,dza,6842
fra,dza,6911
fra,dza,6912
fra,dza,6931
fra,dza,6935
fra,dza,6940
fra,dza,6951
fra,dza,6953
fra,dza,6973
fra,dza,6974
fra,dza,6975
fra,dza,6978
fra,dza,6991
fra,dza,6992
fra,dza,6993
fra,dza,6994
fra,dza,6996
fra,dza,6997
fra,dza,6998
fra,dza,7111
fra,dza,7112
fra,dza,7119
fra,dza,7132
fra,dza,7133
fra,dza,7138
fra,dza,7139
fra,dza,7148
fra,dza,7161
fra,dza,7162
fra,dza,7169
fra,dza,7188
fra,dza,7211
fra,dza,7213
fra,dza,7219
fra,dza,7224
fra,dza,7233
fra,dza,7243
fra,dza,7244
fra,dza,7245
fra,dza,7247
fra,dza,7248
fra,dza,7251
fra,dza,7252
fra,dza,7259
fra,dza,7263
fra,dza,7264
fra,dza,7267
fra,dza,7268
fra,dza,7269
fra,dza,7271
fra,dza,7272
fra,dza,7281
fra,dza,7283
fra,dza,7361
fra,dza,7362
fra,dza,7367
fra,dza,7368
fra,dza,7371
fra,dza,7411
fra,dza,7412
fra,dza,7413
fra,dza,7414
fra,dza,7415
fra,dza,7421
fra,dza,7422
fra,dza,7423
fra,dza,7428
fra,dza,7429
fra,dza,7431
fra,dza,7434
fra,dza,7441
fra,dza,7442
fra,dza,7449
fra,dza,7451
fra,dza,7452
fra,dza,7492
fra,dza,7493
fra,dza,7512
fra,dza,7518
fra,dza,7522
fra,dza,7523
fra,dza,7524
fra,dza,7525
fra,dza,7528
fra,dza,7591
fra,dza,7599
fra,dza,7611
fra,dza,7612
fra,dza,7621
fra,dza,7622
fra,dza,7628
fra,dza,7638
fra,dza,7641
fra,dza,7642
fra,dza,7649
fra,dza,7711
fra,dza,7712
fra,dza,7722
fra,dza,7723
fra,dza,7731
fra,dza,7732
fra,dza,7741
fra,dza,7742
fra,dza,7751
fra,dza,7752
fra,dza,7757
fra,dza,7758
fra,dza,7761
fra,dza,7762
fra,dza,7763
fra,dza,7768
fra,dza,7781
fra,dza,7782
fra,dza,7784
fra,dza,7788
fra,dza,7810
fra,dza,7821
fra,dza,7822
fra,dza,7832
fra,dza,7842
fra,dza,7849
fra,dza,7851
fra,dza,7852
fra,dza,7853
fra,dza,7868
fra,dza,7911
fra,dza,7915
fra,dza,7919
fra,dza,7922
fra,dza,7929
fra,dza,7931
fra,dza,7932
fra,dza,7938
fra,dza,8121
fra,dza,8122
fra,dza,8124
fra,dza,8211
fra,dza,8212
fra,dza,8219
fra,dza,8310
fra,dza,8423
fra,dza,8429
fra,dza,8431
fra,dza,8433
fra,dza,8435
fra,dza,8439
fra,dza,8442
